Records,Matches Played,Batting_Innings:,Batting_Not Outs:,Batting_Aggregate:,Batting_Highest Score:,Batting_Average:,Batting_50s:,Batting_100s:,Batting_Ducks:,Batting_4s:,Batting_6s:,Batting_Scoring Rate,Bowling_Overs:,Bowling_Runs Conceded:,Bowling_Wickets:,Bowling_Average:,Bowling_5 Wickets in Innings:,Bowling_10 Wickets in Match:,Bowling_Best - Innings:,Bowling_ Match:,Bowling_Economy Rate:,Bowling_Strike Rate:,Fielding_Catches:,Fielding_Most Catches in Innings:,Fielding_Most Catches in Match:,Wicket Keeping_Catches:,Wicket Keeping_Stumpings:,Wicket Keeping_Most Catches in Innings:,Wicket Keeping_Most Catches in Match:,Wicket Keeping_Most Dismissals in Innings:,Wicket Keeping_Most Dismissals in Match:,Captaincy_Won/Lost:,Matches_As_Captain,
Tests ,92,155,10,7547,254,52.05,25,27,12,840,22,56.86,29.1,84,0,,0,0,0/0,0/0,2.88,,90,3,4,0,0,0,0,0,0,15,36,41.66666667
One Day Internationals ,254,245,39,12169,183,59.07,62,43,13,1140,125,93.17,106.5,665,4,166.25,0,0,01-01-2015 00:00,,6.22,160.25,132,3,,0,0,0,,0,,27,65,41.53846154
Twenty20 Internationals ,90,84,24,3159,94,52.65,28,0,3,285,90,139.04,24.2,198,4,49.5,0,0,01-01-2013 00:00,,8.14,36.5,42,3,,0,0,0,,0,,14,29,48.27586207
Indian Premier League ,199,191,31,6076,113,37.98,40,5,6,524,205,130.41,41.5,368,4,92,0,0,01-02-2025 00:00, ,8.8,62.75,79,2, ,0,0,0, ,0, ,66,62,106.4516129
Overall (International),436,484,73,22875,254,55.66,115,70,28,2265,237,79.97,160.2,947,8,118.38,0,0,1/0, ,5.91,120.25,264,3, ,0,0,0, ,0, ,56,130,43.07692308
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,3360,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,4560,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6.163201578,,,,44.52100172,,1140,132,,,,,,,,,,,,,,,,,,,,,,,
,,,,17.09401709,,,,37.47226559,,2096,750,,,,,,,,,,,,,,,,,,,,,,,
,,,,20.2435813,,,,36.08736942,,9060,540,,,,,,,,,,,,,,,,,,,,,,,
,,,,6.216393443,,,,34.4963792,,,1230,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,39.60655738,,,1422,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3360.01749,,,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5310,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1680,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3326,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,10482,,,,,,,,,,,,,,,,,,,,,,,,,,
